Ballet Dancer,Athlete + Artist,2 CPS,Dance Studio,Rina Belle or  Dan Saul-Knight
Martial Artist,Ballet Dancer + Soldier,2 CPS,Dojo,Lucy Lee
Sushi Chef,Chef + Martial Artist,2 CPS,Sushi Bar,Anni Agi or  Terry Aki
Food Critic,Cook + Reporter,2 CPS,News Agency,Liv Goode or  Eaton Wright
General,Marine + Soldier,2 CPS,Bunker,Neve Sarandah
Actor,Director + Model,2 CPS,Theatre or  Film Studio,Holly Voode or  Bryan Reynolds
Flight Controller,Architect + Pilot,2 CPS,Space Port,Jett Pastonby
Calligrapher,Writer + Artist,2 CPS,Gallery,Callie Kravitz or  Otto Graff
Cameraman,Photographer + Mechanic,2 CPS,Photo Shop or  TV Station,Phil Maker or  Michelle Bay
Cheerleader,Athlete + Ballet Dancer,2 CPS,Stadium or  Dance Studio,Tom Pomm
Coach,Athlete + Athlete,2 CPS,Stadium,Jim Laucher
Courier,Mailman + Salesman,2 CPS,Post Office,Dusty Rhodes
Director,Cameraman + Cameraman,2 CPS,Theatre or  Film Studio,Martina Scorcese or  Devan Spielburg
Florist,Farmer + Botanist,2 CPS,Flower Shop or  Nursery or  Farmer's Market,Dan D'Lyons
Grave Digger,Farmer + Soldier,2 CPS,Funeral Parlor,Doug Pitts
Mailman,Reporter + Valet,2 CPS,Post Office,June Parcell
Miner,Grave Digger + Explorer,2 CPS,Utopium Mine,Jem Stoan
Cattle Rustler,Jockey + Animal Trainer,2 CPS,Stable or  Stadium,Brandon Cattell or  Brenda Cattel
Postmaster General,Mailman + General,2 CPS,Post Office,Philip Lately
Stunt Double,Actor + Martial Artist,2 CPS,Film Studio,Oliver Sutton
Programmer,Mathematician + Engineer,2 CPS,Arcade or  Tech Support,Willa Gates or  Sakura Gates
Game Designer,Programmer + Artist,2 CPS,Arcade,Brave Marsh
Mathematician,Philosopher + Scientist,2 CPS,University or  Business Center or  Tech Support,Bertha Russel
Scientist,Philosopher + Engineer,2 CPS,Research Lab,Milly Graham or  Miller Graham
Physicist,Scientist + Mathematician,2 CPS,University,Mary Curry or  Wilbert Epstein
Astronomer,Physicist + Dreamer,2 CPS,Space Admin or  Observatory,Stella Eventide or  Seymour Stars
Astronaut,Pilot + Astronomer,2 CPS,Space Admin,Neil Livestrong
Geneticist,Scientist + Doctor,2 CPS,Gene Pool,Gene Poole or  Jean Poole
Cryptozoologist,Zookeeper + Detective,2 CPS,Research Lab,Holly Mackerel or  Marshall Mellow
Accountant,Secretary + Mathematician,2 CPS,Pharmacy or  Bank or  Business Center,Pound Fullish or  Zoe Ballanser
Editor,Writer + Writer,2 CPS,Library or  Publishing House,Jerry Stein
Librarian,Writer + Poet,2 CPS,Library,Constance Eyelens
Historian,Philosopher + Librarian,2 CPS,Museum,William Bison or  Anne Teak
Archaeologist,Historian + Explorer,2 CPS,Museum,Montana Jones
Super Hero,Soldier + Geneticist,3 CPS,Hero Mansion,Mister Utopia or  Miss Demeanor
Atomic Hero,Radiologist + General,2 CPS,Hero Mansion,Bruce Brooklyn
Ancient Hero,Preacher + Weather Reporter,2 CPS,Hero Mansion or  Astro Church,Andromeda Athenos
Choreographer,Ballet Dancer + Director,2 CPS,Dance Studio,Eshkol Wachmann or  Giselle Ivanov
Pharmacist,Doctor + Salesman,2 CPS,Pharmacy,Bill D'Spencer or  Molly Kuehl
CSI,Detective + Photographer,3 CPS,Forensic Lab,Danna Caruso or  Hiroshi Kane
Forensic Scientist,Detective + Scientist,3 CPS,Forensic Lab,Gotye Prince or  Amanda Katsch
Physiotherapist,Athlete + Doctor,3 CPS,Spa or  Arena or  Clinic,Ophelia Payne or  Nick Payne
Coroner,Grave Digger + Doctor,3 CPS,Funeral Parlor,Paula Barer or  Paul Barer
Anti Hero,Grave Digger + Super Hero,3 CPS,Hero Mansion,Wayne Howlett or  Spectra Garner
Wrestler,Athlete + Actor,3 CPS,Arena,Candy Savage
Clown,Comic + Painter,3 CPS,Circus,Josephine King
Paleontologist,Archeologist + Crytpozoologist,2 CPS,Museum,Tyrone Suarez or  Diana Suarez
Geologist,Miner + Scientist,3 CPS,Utopium Mine or  Observatory,Sandy Marsh or  Mandy Marsh
Break Dancer,Ballet Dancer + Rapper,3 CPS,Dance Studio,Deborah Stepper or  Buster Moove
Captain,Fishmonger + Sheriff,3 CPS,Lakehouse,Claire Waters or  Evan Keel
Weather Reporter,Reporter + Geologist,3 CPS,News Agency,April Schauer
Comic,Actor + Poet,3 CPS,Unknown,Hugh Morris
Disc Jockey,Jockey + Choreographer,3 CPS,Radio Station or  Dance Studio,Miss Skillet or  Mr. Killexx
First Mate,Captain + Deputy,3 CPS,Lakehouse,Temperance Moore
Buccaneer,Captain + Explorer,3 CPS,Tavern,Yoho Howe
Preacher,Philosopher + Dreamer,3 CPS,Astro Church,Ria Carnation or  Ryan Carnation
Rapper,Poet + Disc Jockey,3 CPS,Dance Studio,Six-T Peso or  Vicky Minja
Receptionist,Secretary + Model,3 CPS,Enterprise or  Dentist's Office or  Hotel Utopia,Brin Beasely or  Jim Bernard
Songwriter,Poet + Poet,3 CPS,Radio Station or  Restaurant,Mike Reinhart or  Dee Minor
Taxidermist,Vet + Coroner,3 CPS,Park,Buck Tester or  Emma Balmer
Vocalist,Songwriter + Actor,3 CPS,Radio Station or  Bar,Carrie Oakey or  Chip Monk
Assistant,Mechanic + Mechanic,1 CPS,Town Hall or  Arrival Center,Sheila Blige or  Nestor Cadbury
Footballer,Athlete + Cheerleader,2 CPS,Stadium,Tim Elbow or  Eliza Womanning
Shepherd,Animal Trainer + Milkmonger,1 CPS,Stable,Bertram Lambert or  Beau Peeph
Winemaker,Farmer + Dreamer,2 CPS,Farm,Sandra Miguel or  Bud Wiser
Baker,Cook + Homemaker,2 CPS,City Square,Brad Levin or  Anita Bagel
Carpenter,Shepherd + Homemaker,2 CPS,City Square,Nelly Todewall or  Tim Burr
Janitor,Plumber + Construction Worker,2 CPS,City Square or  Diner or  Fast Food,Jan Itor
Ninja,Martial Artist + Soldier,3 CPS,Ninja HQ or  Dojo,Shuri Ken or  Kage Arashi
Referee,Coach + Judge,3 CPS,Stadium or  Arena,Lionel Scrimmage or  Lyna Scrimmage
Secret Agent,Ninja + Detective,3 CPS,Ninja HQ,Mike Furry
Sensei,Martial Artist + Philosopher,3 CPS,Dojo,Miyagi Yojimbo
Deep Sea Diver,Marine Biologist + Explorer,2 CPS,Tavern or  Aquarium,Eileen Dover
Watchmaker,Historian + Mechanic,3 CPS,City Square,Phillipa Patek or  Dick Tocke
Time Traveller,Watchmaker + Explorer,3 CPS,Tavern,Doctor When
Tailor,Model + Artist,3 CPS,Weddings R Us or  City Square or  Fashion Studio,Manny Kinn
Ringmaster,Animal Trainer + Clown,2 CPS,Circus,Joy Zigfried or  Elroy Sigfried
Oracle,Philosopher + Preacher,2 CPS,Fortune Teller or  Astro Church,Krystal Balle
Matador,Animal Trainer + Wrestler,2 CPS,Circus,Frito Santana
Magician,Accountant + Accountant,3 CPS,Circus,Larry Houdini
Bartender,Winemaker + Salesman,3 CPS,Tavern or  Bar,Roman Koch
Barista,Bartender + Waiter,1 CPS,Cafe,Dee Kaffin or  Tal Black
Wizard,Magician + Scientist,2 CPS,School of Magic,Avery Kedavra
Apprentice,Wizard + Assistant,2 CPS,School of Magic,William Hogworth
System Admin,Programmer + Programmer,1 CPS,Tech Support,Sydney Burnette
Genie,Magician + Magician,1 CPS,Tavern,Benjamin Djinn or  Desiree Trois
Wedding Planner,Winemaker + Baker,1 CPS,Weddings R Us,Holly Matrimony
Centaur,Mutant + Jockey,5 CPS,Altar,Yuni Cornsareal
